label_technique,2021-12-12 - 2021-12-19,2021-12-19 - 2021-12-26,2021-12-26 - 2022-01-02,2022-01-02 - 2022-01-09,2022-08-28 - 2022-09-04,2022-09-04 - 2022-09-11,2022-09-11 - 2022-09-18,2022-09-18 - 2022-09-25,2022-09-25 - 2022-10-02,2022-10-02 - 2022-10-09,2022-10-09 - 2022-10-16,2022-10-16 - 2022-10-23,2022-10-23 - 2022-10-30
Duplicate,,,,,3061,,,,1,1,,3,2
T1046,,,,,,,16809,,10,,,,
T1059,,,,,,,,,,3,,2,
T1071,,,,,,,,,14,,,,
T1112,,,,,,,,,,,,2,1
T1133,,,,,,,,,1,,,,
T1136,,,,,,,,,,,,3,
T1190,,,,,,,,,3,,,5,
T1203,,,,,,,,,,,17,1,
T1204,,,,,,,,5,2,,,,
T1210,,,,,,,,,11,,,,
T1505,,,,,,,,,1,,,,
T1546,,,,,,,,,,,,,1
T1547,,,,,,,,,,,,3,1
T1548,,,,,3061,,,,,,,,
T1557,,,,,,,,,,1,,,
T1566,,,,,,,,,10,,,,
T1571,,,,,,,,,3,,,,
T1587,,,,,,,,275446,,,22,3,
T1589,,,,,264,27,,,1,,,,
T1590,,,,,20364,816,,28,,,,,
T1592,,,,,20477,919,,,9,,,,
T1595,,,,,,,62,8525,,,,,
dt_first_record,2021-12-17 13:00:45.251239,2021-12-19 00:00:08.630389,2021-12-26 00:00:27.131120,2022-01-02 00:00:15.382572,2022-08-31 03:50:37.671000,2022-09-04 00:06:52.012000,2022-09-14 16:25:34.348000,2022-09-18 20:48:19.976000,2022-09-25 00:54:52.652000,2022-10-04 11:40:45.900000,2022-10-11 16:25:01.805000,2022-10-18 16:56:05.859000,2022-10-23 22:07:45.793000
dt_last_record,2021-12-18 23:59:38.384860,2021-12-25 23:59:56.884974,2022-01-01 23:59:45.134040,2022-01-08 23:59:45.571686,2022-09-03 23:36:52.018000,2022-09-06 16:41:05.179000,2022-09-15 21:32:47.365000,2022-09-21 21:29:34.746000,2022-09-28 16:13:04.157000,2022-10-05 18:14:57.059000,2022-10-12 18:39:24.330000,2022-10-20 21:55:17.791000,2022-10-23 22:07:45.793000
dt_week_end,2021-12-19 13:00:45.251239,2021-12-26 13:00:45.251239,2022-01-02 13:00:45.251239,2022-01-09 13:00:45.251239,2022-09-04 13:00:45.251239,2022-09-11 13:00:45.251239,2022-09-18 13:00:45.251239,2022-09-25 13:00:45.251239,2022-10-02 13:00:45.251239,2022-10-09 13:00:45.251239,2022-10-16 13:00:45.251239,2022-10-23 13:00:45.251239,2022-10-30 13:00:45.251239
dt_week_start,2021-12-12 13:00:45.251239,2021-12-19 13:00:45.251239,2021-12-26 13:00:45.251239,2022-01-02 13:00:45.251239,2022-08-28 13:00:45.251239,2022-09-04 13:00:45.251239,2022-09-11 13:00:45.251239,2022-09-18 13:00:45.251239,2022-09-25 13:00:45.251239,2022-10-02 13:00:45.251239,2022-10-09 13:00:45.251239,2022-10-16 13:00:45.251239,2022-10-23 13:00:45.251239
none,20745,97807,98290,133497,,,,,,,,,
total_record_count,20745,97807,98290,133497,47227,1762,16871,284004,66,5,39,22,5
